transaction_id,line_id,date,period,account_code,account_name,debit,credit,description,source_doc
JE-000021,JE-000021-1,2024-02-05,2024-02,6000,Salaries & Wages,104490.61,0,Payroll run,PR-40017
JE-000021,JE-000021-2,2024-02-05,2024-02,1000,Cash,0,104490.61,Payroll run,PR-40017
JE-000022,JE-000022-1,2024-02-05,2024-02,6100,Employee Benefits,23040.7,0,Employee benefits & payroll taxes,PR-40018
JE-000022,JE-000022-2,2024-02-05,2024-02,1000,Cash,0,23040.7,Employee benefits & payroll taxes,PR-40018
JE-000023,JE-000023-1,2024-02-15,2024-02,6200,Software & Subscriptions,7862.26,0,Recurring SaaS tooling subscriptions,SUB-40019
JE-000023,JE-000023-2,2024-02-15,2024-02,1000,Cash,0,7862.26,Recurring SaaS tooling subscriptions,SUB-40019
JE-000024,JE-000024-1,2024-02-15,2024-02,6300,Marketing & Advertising,15242.26,0,Digital advertising & agency fees,INV-40020
JE-000024,JE-000024-2,2024-02-15,2024-02,2000,Accounts Payable,0,15242.26,Digital advertising & agency fees,INV-40020
JE-000025,JE-000025-1,2024-02-15,2024-02,6400,Travel & Entertainment,3411.57,0,Employee travel & client entertainment,EXP-40021
JE-000025,JE-000025-2,2024-02-15,2024-02,1000,Cash,0,3411.57,Employee travel & client entertainment,EXP-40021
JE-000026,JE-000026-1,2024-02-15,2024-02,6500,Professional Fees,15159.33,0,"Legal, audit & advisory fees",INV-40022
JE-000026,JE-000026-2,2024-02-15,2024-02,2000,Accounts Payable,0,15159.33,"Legal, audit & advisory fees",INV-40022
JE-000027,JE-000027-1,2024-02-05,2024-02,6600,Rent & Facilities,12000,0,Office lease payment,LEASE-40023
JE-000027,JE-000027-2,2024-02-05,2024-02,1000,Cash,0,12000,Office lease payment,LEASE-40023
JE-000028,JE-000028-1,2024-02-29,2024-02,6700,Depreciation,2000,0,Monthly depreciation expense,DEP-2024-02
JE-000028,JE-000028-2,2024-02-29,2024-02,1600,Accumulated Depreciation,0,2000,Monthly depreciation expense,DEP-2024-02
JE-000029,JE-000029-1,2024-02-15,2024-02,6800,Office Supplies,1185.38,0,Office supplies,EXP-40024
JE-000029,JE-000029-2,2024-02-15,2024-02,1000,Cash,0,1185.38,Office supplies,EXP-40024
JE-000030,JE-000030-1,2024-02-15,2024-02,6900,Utilities,1881.82,0,Utilities,UTIL-40025
JE-000030,JE-000030-2,2024-02-15,2024-02,1000,Cash,0,1881.82,Utilities,UTIL-40025
JE-000031,JE-000031-1,2024-02-29,2024-02,1000,Cash,183507.31,0,Customer collections on account,COLL-2024-02
JE-000031,JE-000031-2,2024-02-29,2024-02,1100,Accounts Receivable,0,183507.31,Customer collections on account,COLL-2024-02
JE-000032,JE-000032-1,2024-02-29,2024-02,2000,Accounts Payable,73714.64,0,Vendor payments on account,PMT-2024-02
JE-000032,JE-000032-2,2024-02-29,2024-02,1000,Cash,0,73714.64,Vendor payments on account,PMT-2024-02
JE-000033,JE-000033-1,2024-03-31,2024-03,1100,Accounts Receivable,188494.09,0,Monthly SaaS subscription revenue recognized,SUB-40026
JE-000033,JE-000033-2,2024-03-31,2024-03,4000,Product Revenue,0,188494.09,Monthly SaaS subscription revenue recognized,SUB-40026
JE-000034,JE-000034-1,2024-03-31,2024-03,1100,Accounts Receivable,26324.88,0,Professional services revenue recognized,SVC-40027
JE-000034,JE-000034-2,2024-03-31,2024-03,4100,Service Revenue,0,26324.88,Professional services revenue recognized,SVC-40027
JE-000035,JE-000035-1,2024-03-31,2024-03,5000,Cost of Goods Sold,61923.4,0,Hosting infrastructure & customer support costs,INV-40028
JE-000035,JE-000035-2,2024-03-31,2024-03,2000,Accounts Payable,0,61923.4,Hosting infrastructure & customer support costs,INV-40028
JE-000036,JE-000036-1,2024-03-05,2024-03,6000,Salaries & Wages,100846.26,0,Payroll run,PR-40029
JE-000036,JE-000036-2,2024-03-05,2024-03,1000,Cash,0,100846.26,Payroll run,PR-40029
JE-000037,JE-000037-1,2024-03-05,2024-03,6100,Employee Benefits,22122.58,0,Employee benefits & payroll taxes,PR-40030
JE-000037,JE-000037-2,2024-03-05,2024-03,1000,Cash,0,22122.58,Employee benefits & payroll taxes,PR-40030
JE-000038,JE-000038-1,2024-03-15,2024-03,6200,Software & Subscriptions,7948.28,0,Recurring SaaS tooling subscriptions,SUB-40031
JE-000038,JE-000038-2,2024-03-15,2024-03,1000,Cash,0,7948.28,Recurring SaaS tooling subscriptions,SUB-40031
JE-000039,JE-000039-1,2024-03-15,2024-03,6300,Marketing & Advertising,15362.53,0,Digital advertising & agency fees,INV-40032
JE-000039,JE-000039-2,2024-03-15,2024-03,2000,Accounts Payable,0,15362.53,Digital advertising & agency fees,INV-40032
JE-000040,JE-000040-1,2024-03-15,2024-03,6400,Travel & Entertainment,3961.91,0,Employee travel & client entertainment,EXP-40033
JE-000040,JE-000040-2,2024-03-15,2024-03,1000,Cash,0,3961.91,Employee travel & client entertainment,EXP-40033
JE-000041,JE-000041-1,2024-03-15,2024-03,6500,Professional Fees,5643.82,0,"Legal, audit & advisory fees",INV-40034
JE-000041,JE-000041-2,2024-03-15,2024-03,2000,Accounts Payable,0,5643.82,"Legal, audit & advisory fees",INV-40034
JE-000042,JE-000042-1,2024-03-05,2024-03,6600,Rent & Facilities,12000,0,Office lease payment,LEASE-40035
JE-000042,JE-000042-2,2024-03-05,2024-03,1000,Cash,0,12000,Office lease payment,LEASE-40035
JE-000043,JE-000043-1,2024-03-31,2024-03,6700,Depreciation,2000,0,Monthly depreciation expense,DEP-2024-03
JE-000043,JE-000043-2,2024-03-31,2024-03,1600,Accumulated Depreciation,0,2000,Monthly depreciation expense,DEP-2024-03
JE-000044,JE-000044-1,2024-03-15,2024-03,6800,Office Supplies,1349.54,0,Office supplies,EXP-40036
JE-000044,JE-000044-2,2024-03-15,2024-03,1000,Cash,0,1349.54,Office supplies,EXP-40036
JE-000045,JE-000045-1,2024-03-15,2024-03,6900,Utilities,1826.65,0,Utilities,UTIL-40037
JE-000045,JE-000045-2,2024-03-15,2024-03,1000,Cash,0,1826.65,Utilities,UTIL-40037
JE-000046,JE-000046-1,2024-03-31,2024-03,1000,Cash,182596.13,0,Customer collections on account,COLL-2024-03
JE-000046,JE-000046-2,2024-03-31,2024-03,1100,Accounts Receivable,0,182596.13,Customer collections on account,COLL-2024-03
JE-000047,JE-000047-1,2024-03-31,2024-03,2000,Accounts Payable,66343.8,0,Vendor payments on account,PMT-2024-03
JE-000047,JE-000047-2,2024-03-31,2024-03,1000,Cash,0,66343.8,Vendor payments on account,PMT-2024-03
JE-000048,JE-000048-1,2024-04-30,2024-04,1100,Accounts Receivable,199369.85,0,Monthly SaaS subscription revenue recognized,SUB-40038
JE-000048,JE-000048-2,2024-04-30,2024-04,4000,Product Revenue,0,199369.85,Monthly SaaS subscription revenue recognized,SUB-40038
JE-000049,JE-000049-1,2024-04-30,2024-04,1100,Accounts Receivable,28280.48,0,Professional services revenue recognized,SVC-40039
JE-000049,JE-000049-2,2024-04-30,2024-04,4100,Service Revenue,0,28280.48,Professional services revenue recognized,SVC-40039
JE-000050,JE-000050-1,2024-04-30,2024-04,5000,Cost of Goods Sold,65798.51,0,Hosting infrastructure & customer support costs,INV-40040
JE-000050,JE-000050-2,2024-04-30,2024-04,2000,Accounts Payable,0,65798.51,Hosting infrastructure & customer support costs,INV-40040
JE-000051,JE-000051-1,2024-04-05,2024-04,6000,Salaries & Wages,103757.11,0,Payroll run,PR-40041
JE-000051,JE-000051-2,2024-04-05,2024-04,1000,Cash,0,103757.11,Payroll run,PR-40041
JE-000052,JE-000052-1,2024-04-05,2024-04,6100,Employee Benefits,23580.89,0,Employee benefits & payroll taxes,PR-40042
JE-000052,JE-000052-2,2024-04-05,2024-04,1000,Cash,0,23580.89,Employee benefits & payroll taxes,PR-40042
JE-000053,JE-000053-1,2024-04-15,2024-04,6200,Software & Subscriptions,8580.53,0,Recurring SaaS tooling subscriptions,SUB-40043
JE-000053,JE-000053-2,2024-04-15,2024-04,1000,Cash,0,8580.53,Recurring SaaS tooling subscriptions,SUB-40043
JE-000054,JE-000054-1,2024-04-15,2024-04,6300,Marketing & Advertising,14355.6,0,Digital advertising & agency fees,INV-40044
JE-000054,JE-000054-2,2024-04-15,2024-04,2000,Accounts Payable,0,14355.6,Digital advertising & agency fees,INV-40044
JE-000055,JE-000055-1,2024-04-15,2024-04,6400,Travel & Entertainment,4370.69,0,Employee travel & client entertainment,EXP-40045
JE-000055,JE-000055-2,2024-04-15,2024-04,1000,Cash,0,4370.69,Employee travel & client entertainment,EXP-40045
JE-000056,JE-000056-1,2024-04-15,2024-04,6500,Professional Fees,5424.65,0,"Legal, audit & advisory fees",INV-40046
JE-000056,JE-000056-2,2024-04-15,2024-04,2000,Accounts Payable,0,5424.65,"Legal, audit & advisory fees",INV-40046
JE-000057,JE-000057-1,2024-04-05,2024-04,6600,Rent & Facilities,12000,0,Office lease payment,LEASE-40047
JE-000057,JE-000057-2,2024-04-05,2024-04,1000,Cash,0,12000,Office lease payment,LEASE-40047
JE-000058,JE-000058-1,2024-04-05,2024-04,1500,Fixed Assets,8188.49,0,Capital expenditure — equipment & software capitalization,CAPEX-40048
JE-000058,JE-000058-2,2024-04-05,2024-04,1000,Cash,0,8188.49,Capital expenditure — equipment & software capitalization,CAPEX-40048
JE-000059,JE-000059-1,2024-04-30,2024-04,6700,Depreciation,2000,0,Monthly depreciation expense,DEP-2024-04
JE-000059,JE-000059-2,2024-04-30,2024-04,1600,Accumulated Depreciation,0,2000,Monthly depreciation expense,DEP-2024-04
JE-000060,JE-000060-1,2024-04-15,2024-04,6800,Office Supplies,1044.68,0,Office supplies,EXP-40049
JE-000060,JE-000060-2,2024-04-15,2024-04,1000,Cash,0,1044.68,Office supplies,EXP-40049
JE-000061,JE-000061-1,2024-04-15,2024-04,6900,Utilities,1823.99,0,Utilities,UTIL-40050
JE-000061,JE-000061-2,2024-04-15,2024-04,1000,Cash,0,1823.99,Utilities,UTIL-40050
JE-000062,JE-000062-1,2024-04-30,2024-04,1000,Cash,193502.78,0,Customer collections on account,COLL-2024-04
JE-000062,JE-000062-2,2024-04-30,2024-04,1100,Accounts Receivable,0,193502.78,Customer collections on account,COLL-2024-04
JE-000063,JE-000063-1,2024-04-30,2024-04,2000,Accounts Payable,68463,0,Vendor payments on account,PMT-2024-04
JE-000063,JE-000063-2,2024-04-30,2024-04,1000,Cash,0,68463,Vendor payments on account,PMT-2024-04
JE-000064,JE-000064-1,2024-05-31,2024-05,1100,Accounts Receivable,199795.25,0,Monthly SaaS subscription revenue recognized,SUB-40051
JE-000064,JE-000064-2,2024-05-31,2024-05,4000,Product Revenue,0,199795.25,Monthly SaaS subscription revenue recognized,SUB-40051
JE-000065,JE-000065-1,2024-05-31,2024-05,1100,Accounts Receivable,25004.27,0,Professional services revenue recognized,SVC-40052
JE-000065,JE-000065-2,2024-05-31,2024-05,4100,Service Revenue,0,25004.27,Professional services revenue recognized,SVC-40052
JE-000066,JE-000066-1,2024-05-31,2024-05,5000,Cost of Goods Sold,62810.2,0,Hosting infrastructure & customer support costs,INV-40053
JE-000066,JE-000066-2,2024-05-31,2024-05,2000,Accounts Payable,0,62810.2,Hosting infrastructure & customer support costs,INV-40053
JE-000067,JE-000067-1,2024-05-05,2024-05,6000,Salaries & Wages,103686.03,0,Payroll run,PR-40054
JE-000067,JE-000067-2,2024-05-05,2024-05,1000,Cash,0,103686.03,Payroll run,PR-40054
JE-000068,JE-000068-1,2024-05-05,2024-05,6100,Employee Benefits,21739.06,0,Employee benefits & payroll taxes,PR-40055
JE-000068,JE-000068-2,2024-05-05,2024-05,1000,Cash,0,21739.06,Employee benefits & payroll taxes,PR-40055
JE-000069,JE-000069-1,2024-05-15,2024-05,6200,Software & Subscriptions,8419.76,0,Recurring SaaS tooling subscriptions,SUB-40056
JE-000069,JE-000069-2,2024-05-15,2024-05,1000,Cash,0,8419.76,Recurring SaaS tooling subscriptions,SUB-40056
JE-000070,JE-000070-1,2024-05-15,2024-05,6300,Marketing & Advertising,15181.35,0,Digital advertising & agency fees,INV-40057
JE-000070,JE-000070-2,2024-05-15,2024-05,2000,Accounts Payable,0,15181.35,Digital advertising & agency fees,INV-40057
JE-000071,JE-000071-1,2024-05-15,2024-05,6400,Travel & Entertainment,4078.79,0,Employee travel & client entertainment,EXP-40058
JE-000071,JE-000071-2,2024-05-15,2024-05,1000,Cash,0,4078.79,Employee travel & client entertainment,EXP-40058
JE-000072,JE-000072-1,2024-05-15,2024-05,6500,Professional Fees,6553.28,0,"Legal, audit & advisory fees",INV-40059
JE-000072,JE-000072-2,2024-05-15,2024-05,2000,Accounts Payable,0,6553.28,"Legal, audit & advisory fees",INV-40059
JE-000073,JE-000073-1,2024-05-05,2024-05,6600,Rent & Facilities,12000,0,Office lease payment,LEASE-40060
JE-000073,JE-000073-2,2024-05-05,2024-05,1000,Cash,0,12000,Office lease payment,LEASE-40060
JE-000074,JE-000074-1,2024-05-31,2024-05,6700,Depreciation,2000,0,Monthly depreciation expense,DEP-2024-05
JE-000074,JE-000074-2,2024-05-31,2024-05,1600,Accumulated Depreciation,0,2000,Monthly depreciation expense,DEP-2024-05
JE-000075,JE-000075-1,2024-05-15,2024-05,6800,Office Supplies,1288.99,0,Office supplies,EXP-40061
JE-000075,JE-000075-2,2024-05-15,2024-05,1000,Cash,0,1288.99,Office supplies,EXP-40061
JE-000076,JE-000076-1,2024-05-15,2024-05,6900,Utilities,1947.21,0,Utilities,UTIL-40062
JE-000076,JE-000076-2,2024-05-15,2024-05,1000,Cash,0,1947.21,Utilities,UTIL-40062
JE-000077,JE-000077-1,2024-05-31,2024-05,1000,Cash,191079.59,0,Customer collections on account,COLL-2024-05
JE-000077,JE-000077-2,2024-05-31,2024-05,1100,Accounts Receivable,0,191079.59,Customer collections on account,COLL-2024-05
JE-000078,JE-000078-1,2024-05-31,2024-05,2000,Accounts Payable,67635.86,0,Vendor payments on account,PMT-2024-05
JE-000078,JE-000078-2,2024-05-31,2024-05,1000,Cash,0,67635.86,Vendor payments on account,PMT-2024-05
JE-000079,JE-000079-1,2024-06-30,2024-06,1100,Accounts Receivable,208137.27,0,Monthly SaaS subscription revenue recognized,SUB-40063
JE-000079,JE-000079-2,2024-06-30,2024-06,4000,Product Revenue,0,208137.27,Monthly SaaS subscription revenue recognized,SUB-40063
JE-000080,JE-000080-1,2024-06-30,2024-06,1100,Accounts Receivable,24923.75,0,Professional services revenue recognized,SVC-40064
JE-000080,JE-000080-2,2024-06-30,2024-06,4100,Service Revenue,0,24923.75,Professional services revenue recognized,SVC-40064
JE-000081,JE-000081-1,2024-06-30,2024-06,5000,Cost of Goods Sold,68844.14,0,Hosting infrastructure & customer support costs,INV-40065
JE-000081,JE-000081-2,2024-06-30,2024-06,2000,Accounts Payable,0,68844.14,Hosting infrastructure & customer support costs,INV-40065
JE-000082,JE-000082-1,2024-06-05,2024-06,6000,Salaries & Wages,102389.81,0,Payroll run,PR-40066
JE-000082,JE-000082-2,2024-06-05,2024-06,1000,Cash,0,102389.81,Payroll run,PR-40066
JE-000083,JE-000083-1,2024-06-05,2024-06,6100,Employee Benefits,21786.72,0,Employee benefits & payroll taxes,PR-40067
JE-000083,JE-000083-2,2024-06-05,2024-06,1000,Cash,0,21786.72,Employee benefits & payroll taxes,PR-40067
JE-000084,JE-000084-1,2024-06-15,2024-06,6200,Software & Subscriptions,8845.99,0,Recurring SaaS tooling subscriptions,SUB-40068
JE-000084,JE-000084-2,2024-06-15,2024-06,1000,Cash,0,8845.99,Recurring SaaS tooling subscriptions,SUB-40068
JE-000085,JE-000085-1,2024-06-15,2024-06,6300,Marketing & Advertising,17029.1,0,Digital advertising & agency fees,INV-40069
JE-000085,JE-000085-2,2024-06-15,2024-06,2000,Accounts Payable,0,17029.1,Digital advertising & agency fees,INV-40069
JE-000086,JE-000086-1,2024-06-15,2024-06,6400,Travel & Entertainment,4563.05,0,Employee travel & client entertainment,EXP-40070
JE-000086,JE-000086-2,2024-06-15,2024-06,1000,Cash,0,4563.05,Employee travel & client entertainment,EXP-40070
JE-000087,JE-000087-1,2024-06-15,2024-06,6500,Professional Fees,5653.42,0,"Legal, audit & advisory fees",INV-40071
JE-000087,JE-000087-2,2024-06-15,2024-06,2000,Accounts Payable,0,5653.42,"Legal, audit & advisory fees",INV-40071
JE-000088,JE-000088-1,2024-06-05,2024-06,6600,Rent & Facilities,12000,0,Office lease payment,LEASE-40072
JE-000088,JE-000088-2,2024-06-05,2024-06,1000,Cash,0,12000,Office lease payment,LEASE-40072
JE-000089,JE-000089-1,2024-06-30,2024-06,6700,Depreciation,2000,0,Monthly depreciation expense,DEP-2024-06
JE-000089,JE-000089-2,2024-06-30,2024-06,1600,Accumulated Depreciation,0,2000,Monthly depreciation expense,DEP-2024-06
JE-000090,JE-000090-1,2024-06-15,2024-06,6800,Office Supplies,1343.06,0,Office supplies,EXP-40073
JE-000090,JE-000090-2,2024-06-15,2024-06,1000,Cash,0,1343.06,Office supplies,EXP-40073
JE-000091,JE-000091-1,2024-06-15,2024-06,6900,Utilities,2135.76,0,Utilities,UTIL-40074
JE-000091,JE-000091-2,2024-06-15,2024-06,1000,Cash,0,2135.76,Utilities,UTIL-40074
JE-000092,JE-000092-1,2024-06-30,2024-06,1000,Cash,198101.86,0,Customer collections on account,COLL-2024-06
JE-000092,JE-000092-2,2024-06-30,2024-06,1100,Accounts Receivable,0,198101.86,Customer collections on account,COLL-2024-06
JE-000093,JE-000093-1,2024-06-30,2024-06,2000,Accounts Payable,73221.32,0,Vendor payments on account,PMT-2024-06
JE-000093,JE-000093-2,2024-06-30,2024-06,1000,Cash,0,73221.32,Vendor payments on account,PMT-2024-06
JE-000094,JE-000094-1,2024-07-31,2024-07,1100,Accounts Receivable,217689.22,0,Monthly SaaS subscription revenue recognized,SUB-40075
JE-000094,JE-000094-2,2024-07-31,2024-07,4000,Product Revenue,0,217689.22,Monthly SaaS subscription revenue recognized,SUB-40075
JE-000095,JE-000095-1,2024-07-31,2024-07,1100,Accounts Receivable,26175.93,0,Professional services revenue recognized,SVC-40076
JE-000095,JE-000095-2,2024-07-31,2024-07,4100,Service Revenue,0,26175.93,Professional services revenue recognized,SVC-40076
JE-000096,JE-000096-1,2024-07-31,2024-07,5000,Cost of Goods Sold,66178.98,0,Hosting infrastructure & customer support costs,INV-40077
JE-000096,JE-000096-2,2024-07-31,2024-07,2000,Accounts Payable,0,66178.98,Hosting infrastructure & customer support costs,INV-40077
JE-000097,JE-000097-1,2024-07-05,2024-07,6000,Salaries & Wages,109992.84,0,Payroll run,PR-40078
JE-000097,JE-000097-2,2024-07-05,2024-07,1000,Cash,0,109992.84,Payroll run,PR-40078
JE-000098,JE-000098-1,2024-07-05,2024-07,6100,Employee Benefits,23798.11,0,Employee benefits & payroll taxes,PR-40079
JE-000098,JE-000098-2,2024-07-05,2024-07,1000,Cash,0,23798.11,Employee benefits & payroll taxes,PR-40079
JE-000099,JE-000099-1,2024-07-15,2024-07,6200,Software & Subscriptions,8334.6,0,Recurring SaaS tooling subscriptions,SUB-40080
JE-000099,JE-000099-2,2024-07-15,2024-07,1000,Cash,0,8334.6,Recurring SaaS tooling subscriptions,SUB-40080
JE-000100,JE-000100-1,2024-07-15,2024-07,6300,Marketing & Advertising,15389.06,0,Digital advertising & agency fees,INV-40081
JE-000100,JE-000100-2,2024-07-15,2024-07,2000,Accounts Payable,0,15389.06,Digital advertising & agency fees,INV-40081
JE-000101,JE-000101-1,2024-07-15,2024-07,6400,Travel & Entertainment,4557.79,0,Employee travel & client entertainment,EXP-40082
JE-000101,JE-000101-2,2024-07-15,2024-07,1000,Cash,0,4557.79,Employee travel & client entertainment,EXP-40082
JE-000102,JE-000102-1,2024-07-15,2024-07,6500,Professional Fees,5939.39,0,"Legal, audit & advisory fees",INV-40083
JE-000102,JE-000102-2,2024-07-15,2024-07,2000,Accounts Payable,0,5939.39,"Legal, audit & advisory fees",INV-40083
JE-000103,JE-000103-1,2024-07-05,2024-07,6600,Rent & Facilities,12000,0,Office lease payment,LEASE-40084
JE-000103,JE-000103-2,2024-07-05,2024-07,1000,Cash,0,12000,Office lease payment,LEASE-40084
JE-000104,JE-000104-1,2024-07-05,2024-07,1500,Fixed Assets,7499.87,0,Capital expenditure — equipment & software capitalization,CAPEX-40085
JE-000104,JE-000104-2,2024-07-05,2024-07,1000,Cash,0,7499.87,Capital expenditure — equipment & software capitalization,CAPEX-40085
JE-000105,JE-000105-1,2024-07-31,2024-07,6700,Depreciation,2000,0,Monthly depreciation expense,DEP-2024-07
JE-000105,JE-000105-2,2024-07-31,2024-07,1600,Accumulated Depreciation,0,2000,Monthly depreciation expense,DEP-2024-07
JE-000106,JE-000106-1,2024-07-15,2024-07,6800,Office Supplies,971.74,0,Office supplies,EXP-40086
JE-000106,JE-000106-2,2024-07-15,2024-07,1000,Cash,0,971.74,Office supplies,EXP-40086
JE-000107,JE-000107-1,2024-07-15,2024-07,6900,Utilities,2194.92,0,Utilities,UTIL-40087
JE-000107,JE-000107-2,2024-07-15,2024-07,1000,Cash,0,2194.92,Utilities,UTIL-40087
JE-000108,JE-000108-1,2024-07-31,2024-07,1000,Cash,207285.37,0,Customer collections on account,COLL-2024-07
JE-000108,JE-000108-2,2024-07-31,2024-07,1100,Accounts Receivable,0,207285.37,Customer collections on account,COLL-2024-07
JE-000109,JE-000109-1,2024-07-31,2024-07,2000,Accounts Payable,70005.94,0,Vendor payments on account,PMT-2024-07
JE-000109,JE-000109-2,2024-07-31,2024-07,1000,Cash,0,70005.94,Vendor payments on account,PMT-2024-07
JE-000110,JE-000110-1,2024-08-31,2024-08,1100,Accounts Receivable,221902.09,0,Monthly SaaS subscription revenue recognized,SUB-40088
JE-000110,JE-000110-2,2024-08-31,2024-08,4000,Product Revenue,0,221902.09,Monthly SaaS subscription revenue recognized,SUB-40088
JE-000111,JE-000111-1,2024-08-31,2024-08,1100,Accounts Receivable,25192.33,0,Professional services revenue recognized,SVC-40089
JE-000111,JE-000111-2,2024-08-31,2024-08,4100,Service Revenue,0,25192.33,Professional services revenue recognized,SVC-40089
JE-000112,JE-000112-1,2024-08-31,2024-08,5000,Cost of Goods Sold,74274.33,0,Hosting infrastructure & customer support costs,INV-40090
JE-000112,JE-000112-2,2024-08-31,2024-08,2000,Accounts Payable,0,74274.33,Hosting infrastructure & customer support costs,INV-40090
JE-000113,JE-000113-1,2024-08-05,2024-08,6000,Salaries & Wages,109281.08,0,Payroll run,PR-40091
JE-000113,JE-000113-2,2024-08-05,2024-08,1000,Cash,0,109281.08,Payroll run,PR-40091
JE-000114,JE-000114-1,2024-08-05,2024-08,6100,Employee Benefits,22901.59,0,Employee benefits & payroll taxes,PR-40092
